Region,Province,Municipality,Year,Count
Region I - Ilocos Region,ILOCOS NORTE,BANNA (ESPIRITU),2014,91
Region I - Ilocos Region,ILOCOS NORTE,BANNA (ESPIRITU),2015,64
Region I - Ilocos Region,ILOCOS NORTE,BANNA (ESPIRITU),2016,102
Region I - Ilocos Region,ILOCOS NORTE,BANNA (ESPIRITU),2017,86
Region I - Ilocos Region,ILOCOS NORTE,BANNA (ESPIRITU),2018,57
Region I - Ilocos Region,ILOCOS NORTE,BANNA (ESPIRITU),2019,58
Region I - Ilocos Region,ILOCOS NORTE,BANNA (ESPIRITU),2020,8
Region I - Ilocos Region,ILOCOS NORTE,BATAC,1988,102
Region I - Ilocos Region,ILOCOS NORTE,BATAC,1989,75
Region I - Ilocos Region,ILOCOS NORTE,BATAC,1990,129
Region I - Ilocos Region,ILOCOS NORTE,BATAC,1991,97
Region I - Ilocos Region,ILOCOS NORTE,BATAC,1992,120
Region I - Ilocos Region,ILOCOS NORTE,BATAC,1993,135
Region I - Ilocos Region,ILOCOS NORTE,BATAC,1994,125
Region I - Ilocos Region,ILOCOS NORTE,BATAC,1995,151
Region I - Ilocos Region,ILOCOS NORTE,BATAC,1996,165
Region I - Ilocos Region,ILOCOS NORTE,BATAC,1997,137
Region I - Ilocos Region,ILOCOS NORTE,BATAC,1998,76
Region I - Ilocos Region,ILOCOS NORTE,BATAC,1999,86
Region I - Ilocos Region,ILOCOS NORTE,BATAC,2000,161
Region I - Ilocos Region,ILOCOS NORTE,BATAC,2001,90
Region I - Ilocos Region,ILOCOS NORTE,BATAC,2002,130
Region I - Ilocos Region,ILOCOS NORTE,BATAC,2003,91
Region I - Ilocos Region,ILOCOS NORTE,BATAC,2004,166
Region I - Ilocos Region,ILOCOS NORTE,BATAC,2005,97
Region I - Ilocos Region,ILOCOS NORTE,BATAC,2006,138
Region I - Ilocos Region,ILOCOS NORTE,BATAC,2007,163
Region I - Ilocos Region,ILOCOS NORTE,BATAC,2008,180
Region I - Ilocos Region,ILOCOS NORTE,BATAC,2009,174
Region I - Ilocos Region,ILOCOS NORTE,BATAC,2010,218
Region I - Ilocos Region,ILOCOS NORTE,BATAC,2011,178
Region I - Ilocos Region,ILOCOS NORTE,BATAC,2012,200
Region I - Ilocos Region,ILOCOS NORTE,BATAC,2013,160
Region I - Ilocos Region,ILOCOS NORTE,BATAC,2014,161
Region I - Ilocos Region,ILOCOS NORTE,BATAC,2015,235
Region I - Ilocos Region,ILOCOS NORTE,BATAC,2016,206
Region I - Ilocos Region,ILOCOS NORTE,BATAC,2017,179
Region I - Ilocos Region,ILOCOS NORTE,BATAC,2018,134
Region I - Ilocos Region,ILOCOS NORTE,BATAC,2019,122
Region I - Ilocos Region,ILOCOS NORTE,BATAC,2020,62
Region I - Ilocos Region,ILOCOS NORTE,BURGOS,1988,15
Region I - Ilocos Region,ILOCOS NORTE,BURGOS,1989,31
Region I - Ilocos Region,ILOCOS NORTE,BURGOS,1990,26
Region I - Ilocos Region,ILOCOS NORTE,BURGOS,1991,22
Region I - Ilocos Region,ILOCOS NORTE,BURGOS,1992,10
Region I - Ilocos Region,ILOCOS NORTE,BURGOS,1993,24
Region I - Ilocos Region,ILOCOS NORTE,BURGOS,1994,26
Region I - Ilocos Region,ILOCOS NORTE,BURGOS,1995,25
Region I - Ilocos Region,ILOCOS NORTE,BURGOS,1996,26
Region I - Ilocos Region,ILOCOS NORTE,BURGOS,1997,31
Region I - Ilocos Region,ILOCOS NORTE,BURGOS,1998,7
Region I - Ilocos Region,ILOCOS NORTE,BURGOS,1999,12
Region I - Ilocos Region,ILOCOS NORTE,BURGOS,2000,15
Region I - Ilocos Region,ILOCOS NORTE,BURGOS,2001,16
Region I - Ilocos Region,ILOCOS NORTE,BURGOS,2002,23
Region I - Ilocos Region,ILOCOS NORTE,BURGOS,2003,51
Region I - Ilocos Region,ILOCOS NORTE,BURGOS,2004,28
Region I - Ilocos Region,ILOCOS NORTE,BURGOS,2005,24
Region I - Ilocos Region,ILOCOS NORTE,BURGOS,2006,22
Region I - Ilocos Region,ILOCOS NORTE,BURGOS,2007,37
Region I - Ilocos Region,ILOCOS NORTE,BURGOS,2008,16
Region I - Ilocos Region,ILOCOS NORTE,BURGOS,2009,38
Region I - Ilocos Region,ILOCOS NORTE,BURGOS,2010,35
Region I - Ilocos Region,ILOCOS NORTE,BURGOS,2011,21
Region I - Ilocos Region,ILOCOS NORTE,BURGOS,2012,33
Region I - Ilocos Region,ILOCOS NORTE,BURGOS,2013,19
Region I - Ilocos Region,ILOCOS NORTE,BURGOS,2014,21
Region I - Ilocos Region,ILOCOS NORTE,BURGOS,2015,34
Region I - Ilocos Region,ILOCOS NORTE,BURGOS,2016,48
Region I - Ilocos Region,ILOCOS NORTE,BURGOS,2017,39
Region I - Ilocos Region,ILOCOS NORTE,BURGOS,2018,21
Region I - Ilocos Region,ILOCOS NORTE,BURGOS,2019,28
Region I - Ilocos Region,ILOCOS NORTE,BURGOS,2020,1
Region I - Ilocos Region,ILOCOS NORTE,CARASI,1999,1
Region I - Ilocos Region,ILOCOS NORTE,CARASI,2002,1
Region I - Ilocos Region,ILOCOS NORTE,CARASI,2003,1
Region I - Ilocos Region,ILOCOS NORTE,CARASI,2009,5
Region I - Ilocos Region,ILOCOS NORTE,CARASI,2011,3
Region I - Ilocos Region,ILOCOS NORTE,CARASI,2015,3
Region I - Ilocos Region,ILOCOS NORTE,CARASI,2016,2
Region I - Ilocos Region,ILOCOS NORTE,CARASI,2017,3
Region I - Ilocos Region,ILOCOS NORTE,CARASI,2018,2
Region I - Ilocos Region,ILOCOS NORTE,CARASI,2019,7
Region I - Ilocos Region,ILOCOS NORTE,CURRIMAO,1988,11
Region I - Ilocos Region,ILOCOS NORTE,CURRIMAO,1989,10
Region I - Ilocos Region,ILOCOS NORTE,CURRIMAO,1990,9
Region I - Ilocos Region,ILOCOS NORTE,CURRIMAO,1991,9
Region I - Ilocos Region,ILOCOS NORTE,CURRIMAO,1992,13
Region I - Ilocos Region,ILOCOS NORTE,CURRIMAO,1993,8
Region I - Ilocos Region,ILOCOS NORTE,CURRIMAO,1994,12
Region I - Ilocos Region,ILOCOS NORTE,CURRIMAO,1995,18
Region I - Ilocos Region,ILOCOS NORTE,CURRIMAO,1996,35
Region I - Ilocos Region,ILOCOS NORTE,CURRIMAO,1997,8
Region I - Ilocos Region,ILOCOS NORTE,CURRIMAO,1998,12
Region I - Ilocos Region,ILOCOS NORTE,CURRIMAO,1999,12
Region I - Ilocos Region,ILOCOS NORTE,CURRIMAO,2000,4
Region I - Ilocos Region,ILOCOS NORTE,CURRIMAO,2001,19
Region I - Ilocos Region,ILOCOS NORTE,CURRIMAO,2002,15
Region I - Ilocos Region,ILOCOS NORTE,CURRIMAO,2003,21
Region I - Ilocos Region,ILOCOS NORTE,CURRIMAO,2004,19
Region I - Ilocos Region,ILOCOS NORTE,CURRIMAO,2005,17
Region I - Ilocos Region,ILOCOS NORTE,CURRIMAO,2006,16
Region I - Ilocos Region,ILOCOS NORTE,CURRIMAO,2007,7
Region I - Ilocos Region,ILOCOS NORTE,CURRIMAO,2008,7
Region I - Ilocos Region,ILOCOS NORTE,CURRIMAO,2009,18
Region I - Ilocos Region,ILOCOS NORTE,CURRIMAO,2010,26
Region I - Ilocos Region,ILOCOS NORTE,CURRIMAO,2011,18
Region I - Ilocos Region,ILOCOS NORTE,CURRIMAO,2012,18
Region I - Ilocos Region,ILOCOS NORTE,CURRIMAO,2013,17
Region I - Ilocos Region,ILOCOS NORTE,CURRIMAO,2014,34
Region I - Ilocos Region,ILOCOS NORTE,CURRIMAO,2015,19
Region I - Ilocos Region,ILOCOS NORTE,CURRIMAO,2016,16
Region I - Ilocos Region,ILOCOS NORTE,CURRIMAO,2017,13
Region I - Ilocos Region,ILOCOS NORTE,CURRIMAO,2018,22
Region I - Ilocos Region,ILOCOS NORTE,CURRIMAO,2019,10
Region I - Ilocos Region,ILOCOS NORTE,CURRIMAO,2020,3
Region I - Ilocos Region,ILOCOS NORTE,DINGRAS,1988,88
Region I - Ilocos Region,ILOCOS NORTE,DINGRAS,1989,73
Region I - Ilocos Region,ILOCOS NORTE,DINGRAS,1990,84
Region I - Ilocos Region,ILOCOS NORTE,DINGRAS,1991,79
Region I - Ilocos Region,ILOCOS NORTE,DINGRAS,1992,112
Region I - Ilocos Region,ILOCOS NORTE,DINGRAS,1993,119
Region I - Ilocos Region,ILOCOS NORTE,DINGRAS,1994,88
Region I - Ilocos Region,ILOCOS NORTE,DINGRAS,1995,123
Region I - Ilocos Region,ILOCOS NORTE,DINGRAS,1996,139
Region I - Ilocos Region,ILOCOS NORTE,DINGRAS,1997,118
Region I - Ilocos Region,ILOCOS NORTE,DINGRAS,1998,79
Region I - Ilocos Region,ILOCOS NORTE,DINGRAS,1999,61
Region I - Ilocos Region,ILOCOS NORTE,DINGRAS,2000,111
Region I - Ilocos Region,ILOCOS NORTE,DINGRAS,2001,91
Region I - Ilocos Region,ILOCOS NORTE,DINGRAS,2002,83
Region I - Ilocos Region,ILOCOS NORTE,DINGRAS,2003,98
Region I - Ilocos Region,ILOCOS NORTE,DINGRAS,2004,112
Region I - Ilocos Region,ILOCOS NORTE,DINGRAS,2005,89
Region I - Ilocos Region,ILOCOS NORTE,DINGRAS,2006,119
Region I - Ilocos Region,ILOCOS NORTE,DINGRAS,2007,129
Region I - Ilocos Region,ILOCOS NORTE,DINGRAS,2008,86
Region I - Ilocos Region,ILOCOS NORTE,DINGRAS,2009,132
Region I - Ilocos Region,ILOCOS NORTE,DINGRAS,2010,150
Region I - Ilocos Region,ILOCOS NORTE,DINGRAS,2011,192
Region I - Ilocos Region,ILOCOS NORTE,DINGRAS,2012,130
Region I - Ilocos Region,ILOCOS NORTE,DINGRAS,2013,137
Region I - Ilocos Region,ILOCOS NORTE,DINGRAS,2014,178
Region I - Ilocos Region,ILOCOS NORTE,DINGRAS,2015,127
Region I - Ilocos Region,ILOCOS NORTE,DINGRAS,2016,133
Region I - Ilocos Region,ILOCOS NORTE,DINGRAS,2017,146
Region I - Ilocos Region,ILOCOS NORTE,DINGRAS,2018,123
Region I - Ilocos Region,ILOCOS NORTE,DINGRAS,2019,128
Region I - Ilocos Region,ILOCOS NORTE,DINGRAS,2020,18
Region I - Ilocos Region,ILOCOS NORTE,DUMALNEG,1988,1
Region I - Ilocos Region,ILOCOS NORTE,DUMALNEG,1992,1
Region I - Ilocos Region,ILOCOS NORTE,DUMALNEG,1995,5
Region I - Ilocos Region,ILOCOS NORTE,DUMALNEG,2003,1
Region I - Ilocos Region,ILOCOS NORTE,DUMALNEG,2009,2
Region I - Ilocos Region,ILOCOS NORTE,DUMALNEG,2010,1
Region I - Ilocos Region,ILOCOS NORTE,DUMALNEG,2014,1
Region I - Ilocos Region,ILOCOS NORTE,DUMALNEG,2015,4
Region I - Ilocos Region,ILOCOS NORTE,DUMALNEG,2016,19
Region I - Ilocos Region,ILOCOS NORTE,DUMALNEG,2017,17
Region I - Ilocos Region,ILOCOS NORTE,DUMALNEG,2018,4
Region I - Ilocos Region,ILOCOS NORTE,DUMALNEG,2019,2
Region I - Ilocos Region,ILOCOS NORTE,LAOAG CITY (CAPITAL),1988,297
Region I - Ilocos Region,ILOCOS NORTE,LAOAG CITY (CAPITAL),1989,299
Region I - Ilocos Region,ILOCOS NORTE,LAOAG CITY (CAPITAL),1990,455
Region I - Ilocos Region,ILOCOS NORTE,LAOAG CITY (CAPITAL),1991,361
Region I - Ilocos Region,ILOCOS NORTE,LAOAG CITY (CAPITAL),1992,390
Region I - Ilocos Region,ILOCOS NORTE,LAOAG CITY (CAPITAL),1993,453
Region I - Ilocos Region,ILOCOS NORTE,LAOAG CITY (CAPITAL),1994,408
Region I - Ilocos Region,ILOCOS NORTE,LAOAG CITY (CAPITAL),1995,413
Region I - Ilocos Region,ILOCOS NORTE,LAOAG CITY (CAPITAL),1996,578
Region I - Ilocos Region,ILOCOS NORTE,LAOAG CITY (CAPITAL),1997,466
Region I - Ilocos Region,ILOCOS NORTE,LAOAG CITY (CAPITAL),1998,362
Region I - Ilocos Region,ILOCOS NORTE,LAOAG CITY (CAPITAL),1999,308
Region I - Ilocos Region,ILOCOS NORTE,LAOAG CITY (CAPITAL),2000,419
Region I - Ilocos Region,ILOCOS NORTE,LAOAG CITY (CAPITAL),2001,363
Region I - Ilocos Region,ILOCOS NORTE,LAOAG CITY (CAPITAL),2002,344
Region I - Ilocos Region,ILOCOS NORTE,LAOAG CITY (CAPITAL),2003,399
Region I - Ilocos Region,ILOCOS NORTE,LAOAG CITY (CAPITAL),2004,451
Region I - Ilocos Region,ILOCOS NORTE,LAOAG CITY (CAPITAL),2005,406
Region I - Ilocos Region,ILOCOS NORTE,LAOAG CITY (CAPITAL),2006,417
Region I - Ilocos Region,ILOCOS NORTE,LAOAG CITY (CAPITAL),2007,516
Region I - Ilocos Region,ILOCOS NORTE,LAOAG CITY (CAPITAL),2008,419
Region I - Ilocos Region,ILOCOS NORTE,LAOAG CITY (CAPITAL),2009,546
Region I - Ilocos Region,ILOCOS NORTE,LAOAG CITY (CAPITAL),2010,714
Region I - Ilocos Region,ILOCOS NORTE,LAOAG CITY (CAPITAL),2011,608
Region I - Ilocos Region,ILOCOS NORTE,LAOAG CITY (CAPITAL),2012,541
Region I - Ilocos Region,ILOCOS NORTE,LAOAG CITY (CAPITAL),2013,558
Region I - Ilocos Region,ILOCOS NORTE,LAOAG CITY (CAPITAL),2014,466
Region I - Ilocos Region,ILOCOS NORTE,LAOAG CITY (CAPITAL),2015,616
Region I - Ilocos Region,ILOCOS NORTE,LAOAG CITY (CAPITAL),2016,522
Region I - Ilocos Region,ILOCOS NORTE,LAOAG CITY (CAPITAL),2017,533
Region I - Ilocos Region,ILOCOS NORTE,LAOAG CITY (CAPITAL),2018,526
Region I - Ilocos Region,ILOCOS NORTE,LAOAG CITY (CAPITAL),2019,446
Region I - Ilocos Region,ILOCOS NORTE,LAOAG CITY (CAPITAL),2020,84
Region I - Ilocos Region,ILOCOS NORTE,MARCOS,1988,28
Region I - Ilocos Region,ILOCOS NORTE,MARCOS,1989,27
Region I - Ilocos Region,ILOCOS NORTE,MARCOS,1990,57
Region I - Ilocos Region,ILOCOS NORTE,MARCOS,1991,33
Region I - Ilocos Region,ILOCOS NORTE,MARCOS,1992,37
Region I - Ilocos Region,ILOCOS NORTE,MARCOS,1993,40
Region I - Ilocos Region,ILOCOS NORTE,MARCOS,1994,41
Region I - Ilocos Region,ILOCOS NORTE,MARCOS,1995,50
Region I - Ilocos Region,ILOCOS NORTE,MARCOS,1996,80
Region I - Ilocos Region,ILOCOS NORTE,MARCOS,1997,65
Region I - Ilocos Region,ILOCOS NORTE,MARCOS,1998,44
Region I - Ilocos Region,ILOCOS NORTE,MARCOS,1999,48
Region I - Ilocos Region,ILOCOS NORTE,MARCOS,2000,60
Region I - Ilocos Region,ILOCOS NORTE,MARCOS,2001,31
Region I - Ilocos Region,ILOCOS NORTE,MARCOS,2002,41
Region I - Ilocos Region,ILOCOS NORTE,MARCOS,2003,46
Region I - Ilocos Region,ILOCOS NORTE,MARCOS,2004,41
Region I - Ilocos Region,ILOCOS NORTE,MARCOS,2005,19
Region I - Ilocos Region,ILOCOS NORTE,MARCOS,2006,53
Region I - Ilocos Region,ILOCOS NORTE,MARCOS,2007,50
Region I - Ilocos Region,ILOCOS NORTE,MARCOS,2008,52
Region I - Ilocos Region,ILOCOS NORTE,MARCOS,2009,51
Region I - Ilocos Region,ILOCOS NORTE,MARCOS,2010,69
Region I - Ilocos Region,ILOCOS NORTE,MARCOS,2011,63
Region I - Ilocos Region,ILOCOS NORTE,MARCOS,2012,88
Region I - Ilocos Region,ILOCOS NORTE,MARCOS,2013,69
Region I - Ilocos Region,ILOCOS NORTE,MARCOS,2014,58
Region I - Ilocos Region,ILOCOS NORTE,MARCOS,2015,69
Region I - Ilocos Region,ILOCOS NORTE,MARCOS,2016,55
Region I - Ilocos Region,ILOCOS NORTE,MARCOS,2017,60
Region I - Ilocos Region,ILOCOS NORTE,MARCOS,2018,84
Region I - Ilocos Region,ILOCOS NORTE,MARCOS,2019,67
Region I - Ilocos Region,ILOCOS NORTE,MARCOS,2020,21
Region I - Ilocos Region,ILOCOS NORTE,NUEVA ERA,1988,6
Region I - Ilocos Region,ILOCOS NORTE,NUEVA ERA,1989,10
Region I - Ilocos Region,ILOCOS NORTE,NUEVA ERA,1990,13
Region I - Ilocos Region,ILOCOS NORTE,NUEVA ERA,1991,16
Region I - Ilocos Region,ILOCOS NORTE,NUEVA ERA,1992,5
Region I - Ilocos Region,ILOCOS NORTE,NUEVA ERA,1993,9
Region I - Ilocos Region,ILOCOS NORTE,NUEVA ERA,1994,7
Region I - Ilocos Region,ILOCOS NORTE,NUEVA ERA,1995,13
Region I - Ilocos Region,ILOCOS NORTE,NUEVA ERA,1996,10
Region I - Ilocos Region,ILOCOS NORTE,NUEVA ERA,1997,5
Region I - Ilocos Region,ILOCOS NORTE,NUEVA ERA,1998,11
Region I - Ilocos Region,ILOCOS NORTE,NUEVA ERA,1999,4
Region I - Ilocos Region,ILOCOS NORTE,NUEVA ERA,2000,17
Region I - Ilocos Region,ILOCOS NORTE,NUEVA ERA,2001,5
Region I - Ilocos Region,ILOCOS NORTE,NUEVA ERA,2002,1
Region I - Ilocos Region,ILOCOS NORTE,NUEVA ERA,2003,11
